# id,x,y,weight,priority,time_start,time_end
1,72,21,3.2,1,09:53,10:53
2,77,17,1.4,2,09:02,10:02
3,15,13,1.2,2,09:01,10:01
4,95,32,2.7,2,09:45,10:45
5,53,25,1.6,3,09:19,10:19
6,92,15,1.2,3,09:35,10:35
7,12,76,4.4,4,09:58,10:58
8,55,84,4.7,1,09:46,10:46
9,13,17,2.1,1,09:26,10:26
10,64,9,1.6,3,09:56,10:56
11,89,44,0.7,2,09:21,10:21
12,59,92,3.1,1,09:42,10:42
13,85,62,1.7,5,09:35,10:35
14,20,33,1.9,5,09:15,10:15
15,96,47,2.1,2,09:13,10:13
16,69,25,1.2,5,10:00,11:00
17,3,21,3.9,3,09:48,10:48
18,18,13,3.2,3,09:25,10:25
19,62,26,1.8,2,09:43,10:43
20,99,70,3.7,4,09:25,10:25
21,26,60,1.7,2,09:41,10:41
22,1,65,1.8,1,09:41,10:41
23,22,57,0.6,5,09:11,10:11
24,46,14,0.6,4,09:08,10:08
25,8,50,3.8,2,09:04,10:04
26,52,61,4.2,1,09:49,10:49
27,81,47,1.0,2,09:25,10:25
28,45,13,1.7,3,09:07,10:07
29,80,38,3.0,3,09:30,10:30
30,62,78,4.4,1,09:24,10:24
31,38,10,4.0,1,09:50,10:50
32,83,8,2.9,5,09:30,10:30
